fid,name,category,region,province,comuna,comuna_code,address,rut,longitude,latitude,source
235,Empresa Portuaria Valparaiso,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Errazuriz,,-71.6286111149999,-33.033055376,RETC_Valparaiso
236,Empresa Portuaria San Antonio,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Alan Macowan,,-71.6119444809999,-33.5847220299999,RETC_Valparaiso
237,Servicios Portuarios Patillos S A,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Avenida Angamos,,-71.6122222059999,-33.5891664839999,RETC_Valparaiso
238,Servicio De Salud Valparaiso San Antonio,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,San Ignacio,,-71.6102777869999,-33.0499998429999,RETC_Valparaiso
239,Servicio De Salud Valparaiso San Antonio,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Carmen Guerrero,,-71.6058333139999,-33.5849998039999,RETC_Valparaiso
240,Servicio De Salud Vina Del Mar Quillota,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Alvarez,,-71.5383332829999,-33.0288887539999,RETC_Valparaiso
241,Edificio Nueva Vista,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Alvarez,,-71.5574999479999,-33.0247220549999,RETC_Valparaiso
242,Farias Mena Luis Humberto Y Otro,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Cardenal Samore,,-71.5750000369999,-33.1091664779999,RETC_Valparaiso
243,Maria Del Pilar Munoz Moreno Eirl,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Av Valparaiso,,-71.5458333819999,-33.0247220839999,RETC_Valparaiso
244,Daniel Fernandez Saavedra Y Cia Ltda,Exposición,Región de Valparaíso,Valparaíso,Concón,,Avenida Borgono,,-71.5094444469999,-32.9191665249999,RETC_Valparaiso
245,Guillermo Gonzalez Vera Y Cia Ltda,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Avenida Concon,,-71.5377778099999,-33.0072220319999,RETC_Valparaiso
246,Rut Ester Cortes Videla,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Gonzalez,,-71.6011111439999,-33.039722096,RETC_Valparaiso
247,Cesar Alberto Gordon Olave,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Arturo Prat,,-71.5566667139999,-33.1152776139999,RETC_Valparaiso
248,Marcela Del Rosario Rouse Bories,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avenida Los Placeres,,-71.5950000419999,-33.0358331969999,RETC_Valparaiso
249,Guillermo Patricio Cerda Cerda,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Av Baquedano,,-71.6069444439999,-33.613610945,RETC_Valparaiso
250,German Edmundo Vasquez Valenzuela,Exposición,Región de Valparaíso,Valparaíso,Casablanca,,Chacabuco,,-71.4052777879999,-33.3174998509999,RETC_Valparaiso
251,Patricio Jorge Soza Scolari,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Eucaliptus,,-71.6055555839999,-33.6163887089999,RETC_Valparaiso
252,Maria Angelica Menares Perez,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Lauro Barros,,-71.6063888729999,-33.574999847,RETC_Valparaiso
253,Raul Del Carmen Hinojosa Malhue,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Cardenal Caro,,-71.6013888749999,-33.6099998329999,RETC_Valparaiso
254,Bruna Angela Podesta Rivara,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Av Playa Ancha,,-71.634722215,-33.0297220479999,RETC_Valparaiso
255,Patricio Alberto Estay Cadiz,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Las Rejas,,-71.5219444699999,-33.0261109289999,RETC_Valparaiso
256,Oscar Alberto Arriagada Garces,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Avenida Anita Lizana,,-71.5011111379999,-33.0130553639999,RETC_Valparaiso
257,Hernan Francisco Toledo Aburto,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Eusebio Lillo,,-71.6025000249999,-33.0444442769999,RETC_Valparaiso
258,Hugo Arnaldo Olguin Perucci,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Calle Tres,,-71.5363888369999,-33.0052775959999,RETC_Valparaiso
259,Pedro Hernan Rojas Escobar,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Clave,,-71.6300000529999,-33.0361109749999,RETC_Valparaiso
260,Herta Anita Sethmacher Schubert,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Bustamante,,-71.6299999899999,-33.0349998799999,RETC_Valparaiso
261,Guadalupe De Lourdes Navia Cisternas,Exposición,Región de Valparaíso,Valparaíso,Concón,,San Agustin,,-71.5163888459999,-32.922777592,RETC_Valparaiso
262,Salvador Florencio Forno Aguila,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Quito,,-71.6025000319999,-33.0452775829999,RETC_Valparaiso
263,Bernardo Y Pedro Oroz Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Psje. Quillota,,-71.6033333139999,-33.0441664829999,RETC_Valparaiso
264,Arturo Junge Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Orrego,,-71.585833293,-33.030555353,RETC_Valparaiso
265,Angela Bruna Podesta Rivera,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Playa Ancha,,-71.634722215,-33.0297220479999,RETC_Valparaiso
266,Alejandro Torres Pantoja,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Las Heras,,-71.6166666959999,-33.0472220929999,RETC_Valparaiso
267,Agustín González Olivares,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Baden Powell,,-71.6436110989999,-33.0555554199999,RETC_Valparaiso
268,Comercial La Tahona Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Bellavista,,-71.6225000189999,-33.043610961,RETC_Valparaiso
269,Bruno Vaccareza Y Cia,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Ecuador,,-71.6238889399999,-33.0461109419999,RETC_Valparaiso
270,Dusproser Saldaña Y Cia.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Rodelillo,,-71.5655555179999,-33.064999843,RETC_Valparaiso
271,Domingo Pescara,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Quebrada Verde,,-71.6386111499999,-33.031388735,RETC_Valparaiso
272,David Zorrilla Rojas,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Matta,,-71.5755555599999,-33.0480553979999,RETC_Valparaiso
273,Dante Fuentes,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Matta,,-71.5827777459999,-33.0455553619999,RETC_Valparaiso
274,Hernan Rivero Vergara,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Paulino Alfonso,,-71.6352777249999,-33.0333332029999,RETC_Valparaiso
275,Heriberto Pruneda,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Quebrada Verde,,-71.6369444779999,-33.038055392,RETC_Valparaiso
276,Gino,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Matta,,-71.5916667079999,-33.0352775869999,RETC_Valparaiso
277,Friedrich Reinoso Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Victoria,,-71.6122221809999,-33.0466664749999,RETC_Valparaiso
278,Francisco A. Ugarte,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Torquemada,,-71.6350000389999,-33.0369442909999,RETC_Valparaiso
279,Francia Rivas Rivas,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Porvenir,,-71.6480555819999,-33.0338887569999,RETC_Valparaiso
280,Francesca Solimano Y Otros,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Levarte,,-71.6436111289999,-33.0372220289999,RETC_Valparaiso
281,Fernando Cordova,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. O Higgins,,-71.5847222469999,-33.0630554189999,RETC_Valparaiso
282,Fabrica De Pasteles Pelú Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Molina,,-71.6191666979999,-33.0444442769999,RETC_Valparaiso
283,Empresa Panificadora Pansoval,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6158333409999,-33.04611099,RETC_Valparaiso
284,Industrias Lifelon S.A.,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5213889029999,-33.039444247,RETC_Valparaiso
285,Industria Quimica Reno S.A.,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5208332799999,-33.0402776299999,RETC_Valparaiso
286,Idiart Hnos. Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Serrano,,-71.6294443929999,-33.0363887689999,RETC_Valparaiso
287,Mazzino Hnos. Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6130555999999,-33.0461109059999,RETC_Valparaiso
288,Mauricio Guzman Muñoz,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pacífico,,-71.6402777949999,-33.0322220979999,RETC_Valparaiso
289,María Soto Diaz,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Cancha Rayada,,-71.5319443889999,-33.0416664879999,RETC_Valparaiso
290,María Mondaca Hernandez,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,José María Caro,,-71.6519443999999,-33.0397220249999,RETC_Valparaiso
291,María Fernandez Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Simpson,,-71.5994444569999,-33.0499998059999,RETC_Valparaiso
292,María Cecilia González Videla,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Colon,,-71.6172221859999,-33.0477776579999,RETC_Valparaiso
293,Marcela Rouse Bories,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Placeres,,-71.5950000419999,-33.0358331969999,RETC_Valparaiso
294,Manuel Requeiro Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Rodelillo,,-71.5791666519999,-33.0524998499999,RETC_Valparaiso
295,Manuel Juanicotena,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Pedro Montt,,-71.6111111619999,-33.0463886889999,RETC_Valparaiso
296,Luis Musquiz Iraizoz,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Argentina,,-71.6036111199999,-33.0455553559999,RETC_Valparaiso
297,Luis Martinez C.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Mexico,,-71.6461111119999,-33.0386109889999,RETC_Valparaiso
298,Lorenzo Mella Cavecho,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,12 De Julio,,-71.6352777249999,-33.0333332029999,RETC_Valparaiso
299,Lobos Y Cia Ltda.,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Bustamante,,-71.6299999899999,-33.0349998799999,RETC_Valparaiso
